trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
190,False,"{'a': 0.005, 'e': 0.5857428790182249}",25,2,-87.56954617878489,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 1}",1
191,False,"{'a': 0.005, 'e': 0.5816830894638835}",20,0,-107.24770078944711,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
192,False,"{'a': 0.005, 'e': 0.5776087578626015}",20,0,-76.98732590607551,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
193,False,"{'a': 0.005, 'e': 0.5735199860724567}",20,0,-83.78150169945101,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
194,False,"{'a': 0.005, 'e': 0.5694168763125309}",30,13,-7.5273359891763585,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
195,False,"{'a': 0.005, 'e': 0.5652995311603544}",20,0,-54.66710811641924,"{0: 14, 1: 1, 2: 3, 3: 2, 4: 0}",0
196,False,"{'a': 0.005, 'e': 0.5611680535493415}",25,5,-42.70353163555257,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
197,False,"{'a': 0.005, 'e': 0.5570225467662173}",20,2,-61.28964625672636,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 1}",1
198,False,"{'a': 0.005, 'e': 0.5528631144484356}",20,5,17.486890637784253,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.005, 'e': 0.5486898605815876}",20,0,-113.5951213719921,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
200,False,"{'a': 0.005, 'e': 0.5445028894968027}",25,19,11.456656998869505,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
201,False,"{'a': 0.005, 'e': 0.5403023058681398}",25,8,-102.94830815614093,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 2}",1
202,False,"{'a': 0.005, 'e': 0.5360882147099708}",25,17,1.3846697169909115,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
203,False,"{'a': 0.005, 'e': 0.5318607213743555}",20,0,-13.883511757597118,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
204,False,"{'a': 0.005, 'e': 0.5276199315484067}",30,20,4.105456463734873,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
205,False,"{'a': 0.005, 'e': 0.5233659512516496}",20,8,-36.16262581825052,"{0: 8, 1: 0, 2: 3, 3: 1, 4: 0}",1
206,False,"{'a': 0.005, 'e': 0.5190988868333698}",30,14,-77.9197156288092,"{0: 11, 1: 1, 2: 1, 3: 2, 4: 1}",1
207,False,"{'a': 0.005, 'e': 0.5148188449699553}",30,0,-77.4265505277333,"{0: 23, 1: 2, 2: 2, 3: 2, 4: 1}",0
208,False,"{'a': 0.005, 'e': 0.5105259326622303}",20,14,8.43775044649966,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
