trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.01, 'e': 0.7712460149971065}",25,8,-26.214669022445413,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
71,False,"{'a': 0.01, 'e': 0.7648421872844884}",20,0,-87.92776159263487,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.7583618759905082}",20,0,-104.82229571437915,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
73,False,"{'a': 0.01, 'e': 0.751805729140895}",25,0,-129.07316625838135,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
74,False,"{'a': 0.01, 'e': 0.7451744023448704}",25,5,-26.66937553300106,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,9,-31.697688685665184,"{0: 10, 1: 2, 2: 4, 3: 0, 4: 0}",1
76,False,"{'a': 0.01, 'e': 0.7316888688738209}",20,5,-53.26259498703704,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 1}",1
77,False,"{'a': 0.01, 'e': 0.7248360107409052}",20,0,-83.9181745879053,"{0: 13, 1: 0, 2: 4, 3: 3, 4: 0}",0
78,False,"{'a': 0.01, 'e': 0.7179106696109434}",25,1,-73.25337618733136,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 1}",1
79,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-149.74865503878237,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
80,False,"{'a': 0.01, 'e': 0.7038453156522362}",30,0,-66.78561863925769,"{0: 22, 1: 1, 2: 6, 3: 1, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.6967067093471655}",25,0,-12.055472374350366,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
82,False,"{'a': 0.01, 'e': 0.6894984329517471}",25,6,-34.7017651587763,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 0}",1
83,False,"{'a': 0.01, 'e': 0.6822212072876136}",25,0,-28.875807496057153,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0
84,False,"{'a': 0.01, 'e': 0.6748757600712672}",20,0,-32.24276500335087,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.6674628258413082}",35,0,-72.43119886579727,"{0: 27, 1: 4, 2: 2, 3: 1, 4: 1}",0
86,False,"{'a': 0.01, 'e': 0.6599831458849822}",30,1,-82.89338532025603,"{0: 22, 1: 1, 2: 3, 3: 2, 4: 1}",1
87,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,0,-97.6784981010615,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
88,False,"{'a': 0.01, 'e': 0.6448265472400012}",25,0,-242.04338656736638,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 5}",0
89,False,"{'a': 0.01, 'e': 0.6371511441985802}",20,6,7.098853220188189,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.6294120265736969}",20,0,-27.887716885307444,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.6216099682706645}",25,16,7.314975492851331,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.6137457494888116}",20,0,-25.006926800164035,"{0: 16, 1: 2, 2: 0, 3: 2, 4: 0}",0
93,False,"{'a': 0.01, 'e': 0.6058201566434629}",20,0,-29.747545105450936,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
94,False,"{'a': 0.01, 'e': 0.5978339822872982}",20,0,-165.4846040120195,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
95,False,"{'a': 0.01, 'e': 0.5897880250310983}",20,3,-43.75508247422086,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
96,False,"{'a': 0.01, 'e': 0.5816830894638835}",25,17,-35.127334509104756,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.01, 'e': 0.5735199860724567}",25,13,-15.403724650324342,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.5652995311603544}",30,5,-38.870178292612614,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",1
99,False,"{'a': 0.01, 'e': 0.5570225467662173}",20,6,-45.844508121442594,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
100,False,"{'a': 0.01, 'e': 0.5486898605815876}",20,0,-71.36503232484989,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
101,False,"{'a': 0.01, 'e': 0.5403023058681398}",20,0,1.0623313466137394,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.5318607213743555}",35,5,-117.29198195089853,"{0: 20, 1: 5, 2: 2, 3: 1, 4: 2}",1
103,False,"{'a': 0.01, 'e': 0.5233659512516496}",30,20,-22.881473283825407,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.5148188449699553}",20,0,-79.02278194936345,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
105,False,"{'a': 0.01, 'e': 0.5062202572327784}",25,9,16.578233031459252,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.497571047891727}",20,0,-61.78981694367426,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
107,False,"{'a': 0.01, 'e': 0.48887208186052755}",20,11,-10.068394839767409,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.48012422902853413}",20,5,-41.86426876441022,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.01, 'e': 0.47132836417373997}",25,0,-4.3796540679240845,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.4624853668753008}",20,15,-13.488245682367726,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.4535961214255773}",20,1,-41.2671310330124,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 0}",1
112,False,"{'a': 0.01, 'e': 0.44466151674170673}",20,13,11.553944503552884,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'a': 0.01, 'e': 0.43568244627671204}",20,4,-40.650772950813874,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
114,False,"{'a': 0.01, 'e': 0.42665980793015723}",20,10,15.553295094012807,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.01, 'e': 0.41759450395835795}",30,9,14.503590238499863,"{0: 19, 1: 1, 2: 1, 3: 0, 4: 0}",1
116,False,"{'a': 0.01, 'e': 0.40848744088415717}",20,4,-56.87128933947254,"{0: 9, 1: 5, 2: 1, 3: 0, 4: 1}",1
117,False,"{'a': 0.01, 'e': 0.3993395294062732}",20,3,-81.52659240750818,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 2}",1
118,False,"{'a': 0.01, 'e': 0.3901516843082303}",25,0,-2.3441979386217175,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
119,False,"{'a': 0.01, 'e': 0.3809248243668818}",20,0,0.23645331927269186,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
120,False,"{'a': 0.01, 'e': 0.371659872260533}",25,4,7.606943877451964,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.3623577544766736}",30,0,-5.608977866082829,"{0: 27, 1: 0, 2: 2, 3: 1, 4: 0}",1
122,False,"{'a': 0.01, 'e': 0.35301940121933034}",30,8,-27.29118292338546,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
123,False,"{'a': 0.01, 'e': 0.34364574631604705}",20,2,-4.713000490922621,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
124,False,"{'a': 0.01, 'e': 0.3342377271245026}",35,22,10.46770712967992,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.01, 'e': 0.32479628443877623}",20,0,4.83306476083146,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
126,False,"{'a': 0.01, 'e': 0.3153223623952687}",20,9,10.22564147532782,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.3058169083782893}",25,5,17.190138110324646,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
128,False,"{'a': 0.01, 'e': 0.2962808729253187}",20,9,6.350868439445797,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.28671520963195546}",25,11,-17.119979241499863,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
130,False,"{'a': 0.01, 'e': 0.2771208750565576}",30,0,-17.49216372131589,"{0: 25, 1: 2, 2: 2, 3: 1, 4: 0}",0
131,False,"{'a': 0.01, 'e': 0.26749882862458735}",20,9,12.555665193608183,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
132,False,"{'a': 0.01, 'e': 0.2578500325326696}",30,13,1.2994212012900033,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
133,False,"{'a': 0.01, 'e': 0.2481754516523729}",20,10,17.470908694301787,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.01, 'e': 0.23847605343372313}",20,16,8.016021568751295,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'a': 0.01, 'e': 0.22875280780845939}",25,10,21.387293676254203,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'a': 0.01, 'e': 0.2190066870930415}",20,6,23.161127005616624,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
